 lyrNum , LyrType,      Fr,      Fc,     Grp,   strdX,   strdY,multiCoreMode,    Pool,  pooKer, pooStrd,enableBias,      Ni,      No,     InW,     InH,    outW,    outH,procTime(us),LayerCycles,kernelOnlyCycles,coreLoopCycles,LayerSetupCycles,dmaPipeupCycles,   IOcyles,inVol(KB),outVol(KB),wtVol(KB), srcMem-IN, dstMem-IN,srcMem-OUT,dstMem-OUT, srcMem-WT, dstMem-WT,MSMCBW-R(M),MSMCBW-W(M),DDRBW-R(M),DDRBW-W(M),dataFlow,
       0,TIDL_DataLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         0,       3,       3,     640,     640,     640,     640,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,  0.00,  0.00,  0.00,       DDR,       DDR,      NONE,       DDR,      NONE,      MSMC,    0.00,    0.00,    0.00,    0.00,       3,
       1,TIDL_DataConvertLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         0,       3,       3,     640,     640,     640,     640, 1085.67,1085666.65,84480.00,1065083.31, 7000.00,13583.33,1065083.31,4800.00,2400.00,  0.00,       DDR,        L2,      MSMC,       DDR,       DDR,      MSMC,    0.00,    2.40,    4.80,    2.40,       2,
       2,TIDL_ConvolutionLayer,       3,       3,       1,       2,       2,       0,       0,       0,       1,         1,       3,      12,     640,     640,     320,     320,  725.80,725799.99,454807.10,704049.99, 8600.00,13150.00,704049.99,2400.00,2400.12,  0.75,       DDR,        L2,      MSMC,       DDR,       DDR,      MSMC,    0.00,    2.40,    2.40,    2.40,       0,
       3,TIDL_ConvolutionLayer,       3,       3,       1,       1,       1,       0,       0,       0,       1,         1,      12,      32,     320,     320,     320,     320, 1649.59,1649589.66,1625839.66,1625839.66, 8600.00,15150.00,1295983.31,2400.00,6400.00,  7.00,       DDR,        L2,      MSMC,       DDR,       DDR,      MSMC,    0.01,    6.41,    2.41,    6.40,       0,
       4,TIDL_ConvolutionLayer,       3,       3,       1,       2,       2,       0,       0,       0,       1,         1,      32,      64,     320,     320,     160,     160, 4923.56,4923563.33,4902480.00,4902480.00, 8600.00,12483.33,1575749.97,6400.00,3200.12, 36.50,       DDR,        L2,      MSMC,       DDR,       DDR,      MSMC,    0.04,    3.24,    6.44,    3.20,       0,
       5,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,      64,      32,     160,     160,     160,     160,  749.59,749593.32,236211.80,727443.32, 8600.00,13550.00,727443.32,3200.00,1600.00,  4.25,       DDR,        L2,      MSMC,       DDR,       DDR,      MSMC,    0.00,    1.60,    3.20,    1.60,       1,
       6,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,      64,      32,     160,     160,     160,     160,  749.59,749593.32,236211.80,727443.32, 8600.00,13550.00,727443.32,3200.00,1600.00,  4.25,       DDR,        L2,      MSMC,       DDR,       DDR,      MSMC,    0.00,    1.60,    3.20,    1.60,       1,
       7,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,      32,      32,     160,     160,     160,     160,  492.11,492109.99,119443.50,471543.32, 7800.00,12766.67,471543.32,1600.00,1600.00,  2.25,       DDR,        L2,      MSMC,       DDR,       DDR,      MSMC,    0.00,    1.60,    1.60,    1.60,       1,
       8,TIDL_ConvolutionLayer,       3,       3,       1,       1,       1,       0,       0,       0,       1,         1,      32,      32,     160,     160,     160,     160, 1038.90,1038904.68,1014621.35,1014621.35, 8600.00,15683.33,467263.33,1600.00,1600.00, 18.25,       DDR,        L2,      MSMC,       DDR,       DDR,      MSMC,    0.02,    1.62,    1.62,    1.60,       1,
       9,TIDL_EltWiseLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         0,      64,      32,     160,     160,     160,     160,  735.17,735166.65,58960.00,712833.32, 8500.00,13833.33,712833.32,3200.00,1600.00,  0.00,       DDR,        L2,      MSMC,       DDR,       DDR,      MSMC,    0.00,    1.60,    3.20,    1.60,       2,
      10,TIDL_ConcatLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         0,      64,      64,     160,     160,     160,     160,  965.83,965833.32,115280.00,939749.98,12500.00,13583.33,939749.98,3200.00,3200.00,  0.00,       DDR,        L2,      MSMC,       DDR,       DDR,      MSMC,    0.00,    3.20,    3.20,    3.20,       2,
      11,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,      64,      64,     160,     160,     160,     160,  991.19,991193.32,467951.00,967976.65, 8600.00,14616.67,967976.65,3200.00,3200.00,  8.50,       DDR,        L2,      MSMC,       DDR,       DDR,      MSMC,    0.01,    3.21,    3.21,    3.20,       1,
      12,TIDL_ConvolutionLayer,       3,       3,       1,       2,       2,       0,       0,       0,       1,         1,      64,     128,     160,     160,      80,      80, 6549.34,6549336.67,6513320.00,6513320.00, 8600.00,27416.67,878683.32,3200.00,1600.25,145.00,       DDR,        L2,      MSMC,       DDR,       DDR,      MSMC,    0.14,    1.75,    3.35,    1.60,       1,
      13,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     128,      64,      80,      80,      80,      80,  413.05,413046.66,228571.20,385563.33, 8600.00,18883.33,385563.33,1600.00,800.00, 16.50,       DDR,        L2,      MSMC,       DDR,       DDR,      MSMC,    0.02,    0.82,    1.62,    0.80,       1,
      14,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     128,      64,      80,      80,      80,      80,  413.05,413046.66,228571.20,385563.33, 8600.00,18883.33,385563.33,1600.00,800.00, 16.50,       DDR,        L2,      MSMC,       DDR,       DDR,      MSMC,    0.02,    0.82,    1.62,    0.80,       1,
      15,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,      64,      64,      80,      80,      80,      80,  142.64,142641.20,118791.21,118791.21, 7100.00,16750.00,103830.00,800.00,800.00,  8.50,       DDR,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.01,    0.81,    0.81,    0.00,       1,
      16,TIDL_ConvolutionLayer,       3,       3,       1,       1,       1,       0,       0,       0,       1,         1,      64,      64,      80,      80,      80,      80, 1049.57,1049573.34,1028283.34,1028283.34, 7100.00,14190.00,23824.00,800.00,800.00, 72.50,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.87,    0.87,    0.07,    0.00,       1,
      17,TIDL_EltWiseLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         0,     128,      64,      80,      80,      80,      80,  277.83,277833.33,29480.00,260833.33, 8500.00, 8500.00,260833.33,1600.00,800.00,  0.00,       DDR,        L2,      MSMC,       DDR,       DDR,      MSMC,    0.00,    0.80,    1.60,    0.80,       2,
      18,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,      64,      64,      80,      80,      80,      80,  142.64,142641.20,118791.21,118791.21, 7100.00,16750.00,103830.00,800.00,800.00,  8.50,       DDR,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.01,    0.81,    0.81,    0.00,       1,
      19,TIDL_ConvolutionLayer,       3,       3,       1,       1,       1,       0,       0,       0,       1,         1,      64,      64,      80,      80,      80,      80, 1049.57,1049573.34,1028283.34,1028283.34, 7100.00,14190.00,23824.00,800.00,800.00, 72.50,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.87,    0.87,    0.07,    0.00,       1,
      20,TIDL_EltWiseLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         0,     128,      64,      80,      80,      80,      80,  277.83,277833.33,29480.00,260833.33, 8500.00, 8500.00,260833.33,1600.00,800.00,  0.00,       DDR,        L2,      MSMC,       DDR,       DDR,      MSMC,    0.00,    0.80,    1.60,    0.80,       2,
      21,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,      64,      64,      80,      80,      80,      80,  142.64,142641.20,118791.21,118791.21, 7100.00,16750.00,103830.00,800.00,800.00,  8.50,       DDR,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.01,    0.81,    0.81,    0.00,       1,
      22,TIDL_ConvolutionLayer,       3,       3,       1,       1,       1,       0,       0,       0,       1,         1,      64,      64,      80,      80,      80,      80, 1049.57,1049573.34,1028283.34,1028283.34, 7100.00,14190.00,23824.00,800.00,800.00, 72.50,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.87,    0.87,    0.07,    0.00,       1,
      23,TIDL_EltWiseLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         0,     128,      64,      80,      80,      80,      80,  155.00,155000.00,29480.00,139500.00, 7000.00, 8500.00,139500.00,1600.00,800.00,  0.00,       DDR,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.00,    0.80,    1.60,    0.00,       2,
      24,TIDL_ConcatLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         0,     128,     128,      80,      80,      80,      80,  155.53,155533.33,57640.00,141616.67,11000.00, 2916.67,141616.67,1600.00,1600.00,  0.00,       DDR,        L2,       DDR,       DDR,       DDR,      MSMC,    0.00,    1.60,    1.60,    1.60,       2,
      25,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     128,     128,      80,      80,      80,      80,  547.66,547659.99,455259.22,516976.66, 8600.00,22083.33,516976.66,1600.00,1600.00, 33.00,       DDR,        L2,      MSMC,       DDR,       DDR,      MSMC,    0.03,    1.63,    1.63,    1.60,       1,
      26,TIDL_ConvolutionLayer,       3,       3,       1,       2,       2,       0,       0,       0,       1,         1,     128,     256,      80,      80,      40,      40, 6598.98,6598981.24,6497897.91,6497897.91, 8600.00,92483.33,420416.66,1600.00,800.50,578.00,       DDR,        L2,      MSMC,       DDR,       DDR,      MSMC,    0.58,    1.38,    2.18,    0.80,       1,
      27,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     256,     128,      40,      40,      40,      40,  273.72,273724.14,236640.80,236640.80, 8600.00,28483.33,203216.66,800.00,400.00, 65.00,       DDR,        L2,      MSMC,       DDR,       DDR,      MSMC,    0.07,    0.47,    0.86,    0.40,       1,
      28,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     256,     128,      40,      40,      40,      40,  272.22,272224.14,236640.80,236640.80, 7100.00,28483.33,128470.00,800.00,400.00, 65.00,       DDR,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.07,    0.47,    0.86,    0.00,       1,
      29,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     128,     128,      40,      40,      40,      40,  140.06,140062.67,122826.00,122826.00, 7100.00,10136.67, 9667.33,400.00,400.00, 33.00,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.43,    0.43,    0.03,    0.00,       1,
      30,TIDL_ConvolutionLayer,       3,       3,       1,       1,       1,       0,       0,       0,       1,         1,     128,     128,      40,      40,      40,      40, 9742.30,9742301.67,9733565.00,9733565.00, 5500.00, 3236.67, 9917.33,400.00,400.00,289.00,      MSMC,        L2,      NONE,      MSMC,       DDR,       DDR,    0.69,    0.69,    0.29,    0.00,       1,
      31,TIDL_EltWiseLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         0,     256,     128,      40,      40,      40,      40,   34.20,34200.00,14740.00,24033.33, 7000.00, 3166.67,24033.33,800.00,400.00,  0.00,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.80,    0.40,    0.00,    0.00,       2,
      32,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     128,     128,      40,      40,      40,      40,  140.06,140062.67,122826.00,122826.00, 7100.00,10136.67, 9667.33,400.00,400.00, 33.00,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.43,    0.43,    0.03,    0.00,       1,
      33,TIDL_ConvolutionLayer,       3,       3,       1,       1,       1,       0,       0,       0,       1,         1,     128,     128,      40,      40,      40,      40, 9742.30,9742301.67,9733565.00,9733565.00, 5500.00, 3236.67, 9917.33,400.00,400.00,289.00,      MSMC,        L2,      NONE,      MSMC,       DDR,       DDR,    0.69,    0.69,    0.29,    0.00,       1,
      34,TIDL_EltWiseLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         0,     256,     128,      40,      40,      40,      40,   34.20,34200.00,14740.00,24033.33, 7000.00, 3166.67,24033.33,800.00,400.00,  0.00,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.80,    0.40,    0.00,    0.00,       2,
      35,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     128,     128,      40,      40,      40,      40,  140.06,140062.67,122826.00,122826.00, 7100.00,10136.67, 9667.33,400.00,400.00, 33.00,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.43,    0.43,    0.03,    0.00,       1,
      36,TIDL_ConvolutionLayer,       3,       3,       1,       1,       1,       0,       0,       0,       1,         1,     128,     128,      40,      40,      40,      40, 9742.30,9742301.67,9733565.00,9733565.00, 5500.00, 3236.67, 9917.33,400.00,400.00,289.00,      MSMC,        L2,      NONE,      MSMC,       DDR,       DDR,    0.69,    0.69,    0.29,    0.00,       1,
      37,TIDL_EltWiseLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         0,     256,     128,      40,      40,      40,      40,   34.20,34200.00,14740.00,24033.33, 7000.00, 3166.67,24033.33,800.00,400.00,  0.00,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.80,    0.40,    0.00,    0.00,       2,
      38,TIDL_ConcatLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         0,     256,     256,      40,      40,      40,      40,  203.97,203966.66,28820.00,188550.00,12500.00, 2916.67,188550.00,800.00,800.00,  0.00,       DDR,        L2,      MSMC,       DDR,       DDR,      MSMC,    0.00,    0.80,    0.80,    0.80,       2,
      39,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     256,     256,      40,      40,      40,      40,  520.09,520090.00,472340.00,472340.00, 8600.00,39150.00,275963.33,800.00,800.00,130.00,       DDR,        L2,      MSMC,       DDR,       DDR,      MSMC,    0.13,    0.93,    0.93,    0.80,       1,
      40,TIDL_ConvolutionLayer,       3,       3,       1,       2,       2,       0,       0,       0,       1,         1,     256,     512,      40,      40,      20,      20,103836.02,103836016.00,103817466.00,103817466.00, 5500.00,13050.00,128970.00,800.00,401.00,2308.00,       DDR,        L2,      NONE,      MSMC,       DDR,       DDR,    2.31,    2.71,    3.11,    0.00,       1,
      41,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     512,     256,      20,      20,      20,      20,  277.29,277291.83,227628.50,227628.50, 7100.00,42563.33,16018.67,400.00,200.00,258.00,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.66,    0.46,    0.26,    0.00,       1,
      42,TIDL_PoolingLayer,       3,       3,       1,       1,       1,       0,       0,       3,       1,         0,     256,     256,      20,      20,      20,      20,   22.51,22506.63,10783.30,10783.30, 5500.00, 6223.33,    0.00,200.12,200.00,  0.00,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.20,    0.20,    0.00,    0.00,       2,
      43,TIDL_PoolingLayer,       3,       3,       1,       1,       1,       0,       0,       3,       1,         0,     256,     256,      20,      20,      20,      20,   22.51,22506.63,10783.30,10783.30, 5500.00, 6223.33,    0.00,200.12,200.00,  0.00,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.20,    0.20,    0.00,    0.00,       2,
      44,TIDL_PoolingLayer,       3,       3,       1,       1,       1,       0,       0,       3,       1,         0,     256,     256,      20,      20,      20,      20,   22.51,22506.63,10783.30,10783.30, 5500.00, 6223.33,    0.00,200.12,200.00,  0.00,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.20,    0.20,    0.00,    0.00,       2,
      45,TIDL_PoolingLayer,       3,       3,       1,       1,       1,       0,       0,       3,       1,         0,     256,     256,      20,      20,      20,      20,   22.51,22506.63,10783.30,10783.30, 5500.00, 6223.33,    0.00,200.12,200.00,  0.00,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.20,    0.20,    0.00,    0.00,       2,
      46,TIDL_PoolingLayer,       3,       3,       1,       1,       1,       0,       0,       3,       1,         0,     256,     256,      20,      20,      20,      20,   22.51,22506.63,10783.30,10783.30, 5500.00, 6223.33,    0.00,200.12,200.00,  0.00,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.20,    0.20,    0.00,    0.00,       2,
      47,TIDL_PoolingLayer,       3,       3,       1,       1,       1,       0,       0,       3,       1,         0,     256,     256,      20,      20,      20,      20,   22.51,22506.63,10783.30,10783.30, 5500.00, 6223.33,    0.00,200.12,200.00,  0.00,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.20,    0.20,    0.00,    0.00,       2,
      48,TIDL_ConcatLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         0,    1024,    1024,      20,      20,      20,      20,  189.05,189046.67,29480.00,163803.33,23500.00, 1743.33,163803.33,800.00,800.00,  0.00,      MSMC,        L2,      MSMC,       DDR,       DDR,      MSMC,    0.80,    0.80,    0.00,    0.80,       2,
      49,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,    1024,     512,      20,      20,      20,      20, 7815.89,7815889.10,7793072.44,7793072.44, 5500.00,17316.67,152186.66,800.00,400.00,1028.00,       DDR,        L2,      NONE,      MSMC,       DDR,       DDR,    1.03,    1.43,    1.83,    0.00,       1,
      50,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     512,     256,      20,      20,      20,      20,  277.29,277291.83,227628.50,227628.50, 7100.00,42563.33,16018.67,400.00,200.00,258.00,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.66,    0.46,    0.26,    0.00,       1,
      51,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     512,     256,      20,      20,      20,      20,  277.29,277291.83,227628.50,227628.50, 7100.00,42563.33,16018.67,400.00,200.00,258.00,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.66,    0.46,    0.26,    0.00,       1,
      52,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     256,     256,      20,      20,      20,      20,  150.68,150681.67,118085.00,118085.00, 7100.00,25496.67, 3066.00,200.00,200.00,130.00,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.33,    0.33,    0.13,    0.00,       1,
      53,TIDL_ConvolutionLayer,       3,       3,       1,       1,       1,       0,       0,       0,       1,         1,     256,     256,      20,      20,      20,      20,10715.88,10715878.33,10706715.00,10706715.00, 5500.00, 3663.33, 4254.67,200.00,200.00,1154.00,      MSMC,        L2,      NONE,      MSMC,       DDR,       DDR,    1.35,    1.35,    1.15,    0.00,       1,
      54,TIDL_ConcatLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         0,     512,     512,      20,      20,      20,      20,   28.65,28646.67,14410.00,14410.00,11000.00, 3236.67,10606.00,400.00,440.00,  0.00,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.40,    0.44,    0.00,    0.00,       2,
      55,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     512,     512,      20,      20,      20,      20, 3617.75,3617751.83,3608588.50,3608588.50, 5500.00, 3663.33,16018.67,440.00,440.00,516.00,      MSMC,        L2,      NONE,      MSMC,       DDR,       DDR,    0.96,    0.96,    0.52,    0.00,       1,
      56,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     512,     256,      20,      20,      20,      20, 1815.25,1815251.83,1804588.50,1804588.50, 7000.00, 3663.33,64202.00,440.00,220.00,258.00,      MSMC,        L2,      MSMC,       DDR,       DDR,       DDR,    0.70,    0.48,    0.26,    0.22,       1,
      57,TIDL_ResizeLayer,       3,       3,       1,       2,       2,       0,       0,       0,       1,         0,     256,     256,      20,      20,      40,      40,   64.38,64375.47,51158.80,51158.80, 5500.00, 7716.67,25390.00,220.00,840.12,  0.00,       DDR,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.00,    0.84,    0.22,    0.00,       2,
      58,TIDL_ConcatLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         0,     512,     512,      40,      40,      40,      40,  403.83,403833.33,58960.00,389749.99,12500.00, 1583.33,389749.99,1680.00,1600.00,  0.00,       DDR,        L2,      MSMC,       DDR,       DDR,      MSMC,    0.00,    1.60,    1.68,    1.60,       2,
      59,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     512,     128,      40,      40,      40,      40, 3634.67,3634670.67,3610354.00,3610354.00, 7000.00,17316.67,460309.99,1600.00,400.00,129.00,       DDR,        L2,      MSMC,       DDR,       DDR,       DDR,    0.13,    0.53,    1.73,    0.40,       1,
      60,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     512,     128,      40,      40,      40,      40,  500.55,500550.67,456434.00,456434.00, 7100.00,37016.67,361443.33,1600.00,400.00,129.00,       DDR,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.13,    0.53,    1.73,    0.00,       1,
      61,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     128,     128,      40,      40,      40,      40,  140.06,140062.67,122826.00,122826.00, 7100.00,10136.67, 9667.33,400.00,400.00, 33.00,      MSMC,        L2,       DDR,       DDR,       DDR,      MSMC,    0.43,    0.43,    0.03,    0.40,       1,
